"sep=	"
Shimmer9507_Timestamp_FormattedUnix_CAL	Shimmer9507_ECG_EMG_Status1_CAL	Shimmer9507_EMG_CH1_16BIT_CAL	Shimmer9507_EMG_CH2_16BIT_CAL	
yyyy/mm/dd hh:mm:ss.000	no units	mV	mV	
2015/06/26 12:36:42.430	128.0	-2.69569994201483	4.30511897132277	
2015/06/26 12:36:42.432	128.0	-2.69569994201483	4.30511897132277	
2015/06/26 12:36:42.434	128.0	-2.692622658976	4.30204168828394	
2015/06/26 12:36:42.436	128.0	-2.692622658976	4.30204168828394	
2015/06/26 12:36:42.438	128.0	-2.692622658976	4.30204168828394	
2015/06/26 12:36:42.440	128.0	-2.692622658976	4.30204168828394	
2015/06/26 12:36:42.442	128.0	-2.692622658976	4.30511897132277	
2015/06/26 12:36:42.444	128.0	-2.692622658976	4.30511897132277	
2015/06/26 12:36:42.446	128.0	-2.69569994201483	4.3081962543616	
2015/06/26 12:36:42.448	128.0	-2.69569994201483	4.3081962543616	
2015/06/26 12:36:42.450	128.0	-2.69569994201483	4.30511897132277	
2015/06/26 12:36:42.452	128.0	-2.69569994201483	4.30511897132277	
2015/06/26 12:36:42.453	128.0	-2.692622658976	4.30511897132277	
2015/06/26 12:36:42.455	128.0	-2.692622658976	4.30511897132277	
2015/06/26 12:36:42.457	128.0	-2.692622658976	4.30511897132277	
2015/06/26 12:36:42.459	128.0	-2.692622658976	4.30204168828394	
2015/06/26 12:36:42.461	128.0	-2.692622658976	4.30204168828394	
2015/06/26 12:36:42.463	128.0	-2.692622658976	4.30511897132277	
2015/06/26 12:36:42.465	128.0	-2.692622658976	4.30511897132277	
2015/06/26 12:36:42.467	128.0	-2.692622658976	4.31127353740043	
2015/06/26 12:36:42.469	128.0	-2.692622658976	4.31127353740043	
2015/06/26 12:36:42.471	128.0	-2.69569994201483	4.31435082043926	
2015/06/26 12:36:42.473	128.0	-2.69569994201483	4.31435082043926	
2015/06/26 12:36:42.475	128.0	-2.692622658976	4.31127353740043	
2015/06/26 12:36:42.477	128.0	-2.692622658976	4.31127353740043	
2015/06/26 12:36:42.479	128.0	-2.692622658976	4.29896440524511	
2015/06/26 12:36:42.481	128.0	-2.692622658976	4.29896440524511	
2015/06/26 12:36:42.483	128.0	-2.692622658976	4.29896440524511	
2015/06/26 12:36:42.485	128.0	-2.692622658976	4.29896440524511	
2015/06/26 12:36:42.487	128.0	-2.692622658976	4.30511897132277	
2015/06/26 12:36:42.489	128.0	-2.692622658976	4.30511897132277	
2015/06/26 12:36:42.491	128.0	-2.692622658976	4.30511897132277	
2015/06/26 12:36:42.493	128.0	-2.692622658976	4.30511897132277	
2015/06/26 12:36:42.494	128.0	-2.68954537593717	4.30511897132277	
2015/06/26 12:36:42.496	128.0	-2.68954537593717	4.30511897132277	
2015/06/26 12:36:42.498	128.0	-2.68954537593717	4.30204168828394	
2015/06/26 12:36:42.500	128.0	-2.68954537593717	4.30204168828394	
2015/06/26 12:36:42.502	128.0	-2.68954537593717	4.31127353740043	
2015/06/26 12:36:42.504	128.0	-2.68954537593717	4.31127353740043	
2015/06/26 12:36:42.506	128.0	-2.68339080985951	4.31127353740043	
2015/06/26 12:36:42.508	128.0	-2.68339080985951	4.31127353740043	
2015/06/26 12:36:42.510	128.0	-2.68031352682068	4.3081962543616	
2015/06/26 12:36:42.512	128.0	-2.68031352682068	4.3081962543616	
2015/06/26 12:36:42.514	128.0	-2.68339080985951	4.3081962543616	
2015/06/26 12:36:42.516	128.0	-2.68339080985951	4.3081962543616	
2015/06/26 12:36:42.518	128.0	-2.68646809289834	4.3081962543616	
2015/06/26 12:36:42.520	128.0	-2.68646809289834	4.3081962543616	
2015/06/26 12:36:42.522	128.0	-2.68339080985951	4.30511897132277	
2015/06/26 12:36:42.524	128.0	-2.68339080985951	4.30511897132277	
2015/06/26 12:36:42.526	128.0	-2.68031352682068	4.30204168828394	
2015/06/26 12:36:42.528	128.0	-2.68031352682068	4.30204168828394	
2015/06/26 12:36:42.530	128.0	-2.68954537593717	4.30204168828394	
2015/06/26 12:36:42.532	128.0	-2.68954537593717	4.30204168828394	
2015/06/26 12:36:42.534	128.0	-2.68954537593717	4.30204168828394	
2015/06/26 12:36:42.535	128.0	-2.69569994201483	4.30204168828394	
2015/06/26 12:36:42.537	128.0	-2.69569994201483	4.30204168828394	
2015/06/26 12:36:42.539	128.0	-2.68954537593717	4.30204168828394	
2015/06/26 12:36:42.541	128.0	-2.68954537593717	4.30204168828394	
2015/06/26 12:36:42.543	128.0	-2.68954537593717	4.3081962543616	
2015/06/26 12:36:42.545	128.0	-2.68954537593717	4.3081962543616	
2015/06/26 12:36:42.547	128.0	-2.68954537593717	4.31435082043926	
2015/06/26 12:36:42.549	128.0	-2.68954537593717	4.31435082043926	
2015/06/26 12:36:42.551	128.0	-2.692622658976	4.3081962543616	
2015/06/26 12:36:42.553	128.0	-2.692622658976	4.3081962543616	
2015/06/26 12:36:42.555	128.0	-2.692622658976	4.30511897132277	
2015/06/26 12:36:42.557	128.0	-2.692622658976	4.30511897132277	
2015/06/26 12:36:42.559	128.0	-2.692622658976	4.30204168828394	
2015/06/26 12:36:42.561	128.0	-2.692622658976	4.30204168828394	
2015/06/26 12:36:42.563	128.0	-2.692622658976	4.30511897132277	
2015/06/26 12:36:42.565	128.0	-2.692622658976	4.30511897132277	
2015/06/26 12:36:42.567	128.0	-2.69569994201483	4.3081962543616	
2015/06/26 12:36:42.569	128.0	-2.69569994201483	4.3081962543616	
2015/06/26 12:36:42.571	128.0	-2.692622658976	4.31127353740043	
2015/06/26 12:36:42.573	128.0	-2.692622658976	4.31127353740043	
2015/06/26 12:36:42.575	128.0	-2.68339080985951	4.3081962543616	
2015/06/26 12:36:42.577	128.0	-2.68339080985951	4.3081962543616	
2015/06/26 12:36:42.578	128.0	-2.68031352682068	4.30511897132277	
2015/06/26 12:36:42.580	128.0	-2.68031352682068	4.30511897132277	
2015/06/26 12:36:42.582	128.0	-2.68339080985951	4.3081962543616	
2015/06/26 12:36:42.584	128.0	-2.68339080985951	4.3081962543616	
2015/06/26 12:36:42.586	128.0	-2.68646809289834	4.31742810347809	
2015/06/26 12:36:42.588	128.0	-2.68646809289834	4.31742810347809	
2015/06/26 12:36:42.590	128.0	-2.69569994201483	4.32358266955575	
2015/06/26 12:36:42.592	128.0	-2.69569994201483	4.32358266955575	
2015/06/26 12:36:42.594	128.0	-2.69877722505366	4.3081962543616	
2015/06/26 12:36:42.596	128.0	-2.69877722505366	4.3081962543616	
2015/06/26 12:36:42.598	128.0	-2.68954537593717	4.29896440524511	
2015/06/26 12:36:42.600	128.0	-2.68954537593717	4.29896440524511	
2015/06/26 12:36:42.602	128.0	-2.68339080985951	4.29588712220628	
2015/06/26 12:36:42.604	128.0	-2.68339080985951	4.29588712220628	
2015/06/26 12:36:42.606	128.0	-2.68646809289834	4.30511897132277	
2015/06/26 12:36:42.608	128.0	-2.68646809289834	4.30511897132277	
2015/06/26 12:36:42.610	128.0	-2.68646809289834	4.30511897132277	
2015/06/26 12:36:42.612	128.0	-2.68954537593717	4.30511897132277	
2015/06/26 12:36:42.614	128.0	-2.68954537593717	4.30511897132277	
2015/06/26 12:36:42.616	128.0	-2.68339080985951	4.30204168828394	
2015/06/26 12:36:42.618	128.0	-2.68339080985951	4.30204168828394	
