Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
1.449103355,-28.14369,-3.817121,28.35236,0.1889027,-0.4093033,1.627016,-3.606027,-2.299363,-47.09645,992.0257
1.459149361,-68.13963,-12.97744,29.63849,0.367957,-0.3930267,1.896997,-3.606027,-2.299363,-47.09645,992.024
1.469194889,-80.83772,-2.739437,30.74088,0.2957078,-0.3879209,1.610125,-4.323009,-1.902648,-50.41208,992.024
1.479240417,-61.75991,-4.775063,39.13134,0.4649554,-0.4413753,1.885855,-4.323009,-1.902648,-50.41208,992.024
1.489286423,-112.0002,8.157146,46.90935,0.5895699,-0.4815853,1.606997,-4.323009,-1.902648,-50.41208,992.024
1.499332428,-98.32061,14.68312,53.03377,0.558188,-0.503599,1.637352,-4.323009,-1.902648,-50.41208,992.0222
1.509378433,-115.7421,19.59257,59.28067,0.5378861,-0.476334,1.666783,-4.323009,-1.902648,-50.41208,992.0222
1.519423962,-119.4841,30.54903,69.141,0.5721296,-0.5446019,1.679507,-3.551332,-2.208029,-56.96428,992.0222
1.529469967,-130.1579,45.2175,85.24822,0.4921748,-0.5088827,1.517382,-3.551332,-2.208029,-56.96428,992.0222
1.539515018,-142.4879,34.68015,95.35351,0.4171104,-0.509112,1.356378,-3.551332,-2.208029,-56.96428,992.0247
1.549561024,-137.0283,38.21255,106.1325,0.3434641,-0.348414,1.344406,-3.551332,-2.208029,-56.96428,992.0247
1.559607029,-131.8755,51.86322,119.6062,0.2689165,-0.3136221,1.185105,-3.551332,-2.208029,-56.96428,992.0247
1.569653034,-114.5153,57.31151,120.0349,0.1552528,-0.2470114,1.132548,1.961974,2.484274,-58.12567,992.0247
1.579698563,-114.3926,54.73704,111.4607,0.07258417,-0.2155012,1.009143,1.961974,2.484274,-58.12567,992.0229
1.589744568,-98.13658,42.7029,100.5593,0.09232492,-0.2213835,0.9155127,1.961974,2.484274,-58.12567,992.0229
1.599789619,-112.3683,38.21255,92.96499,0.04953032,-0.1437933,0.8776499,1.961974,2.484274,-58.12567,992.0229
